;ret;vola;sharpe;xesc;xspx;phau;csbgu7;csbgu3;ibtm;em13;em35;em57;em710;em1015;em15
161;0,125045493;0,128597386;0,894617663;0,015889874;0,844481445;0,139628682;;;;;;;;;
786;0,118950066;0,122663155;0,888205318;0,007852186;0,784773558;;0,207374256;;;;;;;;
892;0,138375437;0,145111138;0,884669767;0,00742939;0,975244244;;;0,017326366;;;;;;;
12;0,129329565;0,132386187;0,901374746;0,003996541;0,881253142;;;;0,114750317;;;;;;
844;0,119948452;0,12326709;0,891953012;0,004371006;0,831724673;;;;;0,163904321;;;;;
304;0,048331576;0,039828033;0,962427035;0,010283319;0,22935123;;;;;;0,760365451;;;;
332;0,058920384;0,043988854;1,112108618;0,018275679;0,221552299;;;;;;;0,760172022;;;
135;0,074024073;0,052846439;1,211511589;0,013000944;0,275860982;;;;;;;;0,711138074;;
450;0,086114103;0,063735123;1,194225396;0,004091049;0,334384239;;;;;;;;;0,661524712;
246;0,107789533;0,082040108;1,19197226;0,003954193;0,465498488;;;;;;;;;;0,530547319
99;0,053132658;0,074382726;0,579874664;0,191133252;;0,156026006;0,652840741;;;;;;;;
93;0,044802976;0,076686053;0,453837102;0,21067729;;0,310333631;;0,478989078;;;;;;;
451;0,050848521;0,085891803;0,475581136;0,410141496;;0,204383218;;;0,385475286;;;;;;
617;0,06177141;0,12152327;0,426020546;0,541852476;;0,42476029;;;;0,033387233;;;;;
926;0,027461067;0,027926424;0,625252531;0,064501627;;0,061207435;;;;;0,874290938;;;;
58;0,041367412;0,038355666;0,817803873;0,100629782;;0,047296744;;;;;;0,852073474;;;
9;0,050176592;0,046317676;0,867413809;0,083275697;;0,049474055;;;;;;;0,867250248;;
856;0,059420149;0,058882801;0,839296841;0,119442116;;0,086291228;;;;;;;;0,794266656;
964;0,075516077;0,07585806;0,863666655;0,190544901;;0,070131965;;;;;;;;;0,739323135
346;0,05143676;0,078242937;0,529591056;0,198434364;;;0,730779528;0,070786108;;;;;;;
53;0,051463802;0,073303093;0,565648731;0,221531463;;;0,519825227;;0,25864331;;;;;;
556;0,053702681;0,080271679;0,544434615;0,183225958;;;0,81134278;;;0,005431262;;;;;
666;0,031431096;0,032421599;0,661012938;0,054710076;;;0,271050101;;;;0,674239823;;;;
927;0,040224447;0,036113212;0,836936009;0,041575011;;;0,24352758;;;;;0,714897409;;;
21;0,04795701;0,042629002;0,890403443;0,044713385;;;0,226967015;;;;;;0,728319599;;
946;0,054313746;0,051690066;0,857297144;0,054902057;;;0,287957276;;;;;;;0,657140667;
910;0,06648394;0,064001254;0,88254427;0,128465416;;;0,316314192;;;;;;;;0,555220392
736;0,046152852;0,071718949;0,504090658;0,247075175;;;;0,177834081;0,575090744;;;;;;
806;0,040820832;0,08291222;0,371728465;0,206381065;;;;0,789278495;;0,004340441;;;;;
544;0,023974587;0,025296139;0,552439513;0,023305074;;;;0,156409676;;;0,82028525;;;;
801;0,035599468;0,033268157;0,76948862;0,015079673;;;;0,185427147;;;;0,79949318;;;
658;0,044709818;0,041835024;0,829683239;0,049089114;;;;0,182347233;;;;;0,768563652;;
458;0,050570074;0,05137795;0,789639797;0,049188717;;;;0,236314069;;;;;;0,714497214;
26;0,065117276;0,065965102;0,835552037;0,116294617;;;;0,229042082;;;;;;;0,654663301
670;0,05012893;0,089729184;0,447222724;0,451862595;;;;;0,53770046;0,010436945;;;;;
321;0,028254306;0,029311122;0,622777471;0,092603526;;;;;0,115219878;;0,792176596;;;;
820;0,039612757;0,035988059;0,822849524;0,085716784;;;;;0,071532562;;;0,842750654;;;
432;0,049089456;0,045304247;0,862821015;0,096406815;;;;;0,081817487;;;;0,821775699;;
590;0,058171783;0,057589539;0,836467587;0,113779976;;;;;0,080293501;;;;;0,805926523;
114;0,075942473;0,07703939;0,855957878;0,196205274;;;;;0,043216767;;;;;;0,760577959
785;0,026074987;0,027866591;0,576855174;0,080077983;;;;;;0,107959512;0,811962505;;;;
59;0,038245645;0,035115877;0,804355407;0,071131432;;;;;;0,062068549;;0,866800019;;;
364;0,049822203;0,047422491;0,839732415;0,119311883;;;;;;0,055925048;;;0,824763069;;
62;0,059183388;0,059798789;0,822481342;0,096699425;;;;;;0,028669709;;;;0,874630866;
55;0,074528598;0,075811888;0,851167266;0,199553336;;;;;;0,056146809;;;;;0,744299855
121;0,038533248;0,0352863;0,808621136;0,072456409;;;;;;;0,102928545;0,824615046;;;
416;0,050743136;0,047530074;0,857207494;0,088543891;;;;;;;0,003894668;;0,907561441;;
527;0,060680042;0,061378241;0,825700467;0,106452845;;;;;;;0,003903074;;;0,889644081;
353;0,059740086;0,057734659;0,861529058;0,1301283;;;;;;;0,332761527;;;;0,537110173
577;0,045978451;0,040898827;0,879693948;0,070328108;;;;;;;;0,379434925;0,550236967;;
