,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource
125,LU0290357929,XTRACKERS II GL INF-LINK EUR H UCITS ETF,XGIN.MI,BLOOMBERG BARCLAYS WORLD GOV INFLATION-LINKED BOND,0.0025,INFLAZIONE,XTRACKERS,ETF,XGIN.MI
126,LU0290358224,XTRACKERS II EUROZ INFL-LINK UCITS ETF,XEIN.MI,BLOOMBERG BARCLAYS EURO GOV INFLATION-LINKED BOND,0.002,INFLAZIONE,XTRACKERS,ETF,XEIN.MI
127,LU0290358497,XTRACKERS II EUR CASH SWAP UCITS ETF,XEON.MI,EONIA TR INDEX,0.0005,LIQUIDITA',XTRACKERS,ETF,XEON.MI
128,LU0290359032,XTRAC II ITR CROSSOV DAY SWAP UCITS ETF,XTXC.MI,ITRAXX CROSSOVER 5-YEAR TR INDEX,0.0024,INDICI DI CREDITO,XTRACKERS,ETF,XTXC.MI
129,LU0292095535,XTRACKERS EUSTX QUALITY DIVID UCITS ETF,XD3E.MI,EURO STOXX QUALITY DIVIDEND 50,0.003,AZIONARIO STYLE (SVILUPPATI),XTRACKERS,ETF,XD3E.MI
130,LU0292096186,XTRACK STX GL SEL DIV 100 SWAP UCITS ETF,XGSD.MI,STOXX GLOBAL SELECT DIVIDEND 100,0.005,AZIONARIO STYLE (SVILUPPATI),XTRACKERS,ETF,XGSD.MI
131,LU0292100046,XTRACKERS MSCI KOREA UCITS ETF,XMKO.MI,MSCI KOREA TRN,0.0065,AZIONARIO EMERGENTI - ASIA,XTRACKERS,ETF,XMKO.MI
132,LU0292100806,XTRACK STX EU 600 BAS RES SWAP UCITS ETF,XSPR.MI,STOXX EUROPE 600 BASIC RESOURCES TR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),XTRACKERS,ETF,XSPR.MI
133,LU0292101796,XTRACK STX EU 600 OIL&GAS SWAP UCITS ETF,XSER.MI,STOXX EUROPE 600 OIL & GAS TR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),XTRACKERS,ETF,XSER.MI
134,LU0292103222,XTRAC STX EU600 HEAL CARE SWAP UCITS ETF,XSDR.MI,STOXX 600 HEALTH CARE TR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),XTRACKERS,ETF,XSDR.MI
135,LU0292103651,XTRACKERS STX EU600 BANKS SWAP UCITS ETF,XS7R.MI,STOXX 600 BANKS TR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),XTRACKERS,ETF,XS7R.MI
136,LU0292104030,XTRACK STX EU600 TELECOM SWAP UCITS ETF,XSKR.MI,STOXX 600 TELECOMMUNICATIONS TR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),XTRACKERS,ETF,XSKR.MI
137,LU0292104469,XTRACKERS STX EU 600 TECH SWAP UCITS ETF,XS8R.MI,STOXX 600 TECHNOLOGY TR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),XTRACKERS,ETF,XS8R.MI
138,LU0292104899,XTRACK STX EU600 UTILIT SWAP UCITS ETF,XS6R.MI,STOXX EUROPE 600 UTILITIES TR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),XTRACKERS,ETF,XS6R.MI
139,LU0292105359,XTRAC STX EU 600 FOOD&BEV SWAP UCITS ETF,XS3R.MI,STOXX 600 FOOD AND BEVERAGE TR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),XTRACKERS,ETF,XS3R.MI
140,LU0292106084,XTRAC STX EU600 IND GOODS SWAP UCITS ETF,XSNR.MI,STOXX 600 INDUSTRIAL GOODS & SERVICES TR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),XTRACKERS,ETF,XSNR.MI
141,LU0292106167,XTRACK DBLCI COMM OPT YLD SWAP UCITS ETF,XDBC.MI,FX HEDGED DB LIQUID COMM IND OPTIMUM Y BALANCED,0.0055,COMMODITIES,XTRACKERS,ETF,XDBC.MI
142,LU0292107645,XTRACKERS MSCI EMERG MKTS SWAP UCITS ETF,XMEM.MI,MSCI EMERGING MARKETS TRN INDEX,0.0065,AZIONARIO EMERGENTI - MONDO,XTRACKERS,ETF,XMEM.MI
143,LU0292107991,XTRACKERS MSCI EM ASIA SWAP UCITS ETF,XMAS.MI,MSCI EM ASIA TRN INDEX,0.0065,AZIONARIO EMERGENTI - ASIA,XTRACKERS,ETF,XMAS.MI
144,LU0292108619,XTRACKERS MSCI EM LATAM SWAP UCITS ETF,XMLA.MI,MSCI EM LATIN AMERICA USD NET RETURN,0.0065,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,XTRACKERS,ETF,XMLA.MI
145,LU0292109005,XTRACKERS MSCI EM EMEA SWAP UCITS ETF,XMEA.MI,MSCI EM EMEA TRN INDEX,0.0065,AZIONARIO EMERGENTI - MONDO,XTRACKERS,ETF,XMEA.MI
146,LU0292109187,XTRACKERS MSCI TAIWAN UCITS ETF,XMTW.MI,MSCI TAIWAN TRN INDEX,0.0065,AZIONARIO EMERGENTI - ASIA,XTRACKERS,ETF,XMTW.MI
147,LU0292109344,XTRACKERS MSCI BRAZIL UCITS ETF,XMBR.MI,MSCI BRAZIL TRN INDEX,0.0065,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,XTRACKERS,ETF,XMBR.MI
148,LU0292109690,XTRACKERS NIFTY 50 SWAP UCITS ETF,XNIF.MI,NIFTY 50,0.0085,AZIONARIO EMERGENTI - ASIA,XTRACKERS,ETF,XNIF.MI
149,LU0292109856,XTRACKERS FTSE CHINA 50 UCITS ETF,XX25.MI,FTSE CHINA 50 TR,0.006,AZIONARIO EMERGENTI - ASIA,XTRACKERS,ETF,XX25.MI
150,LU0321462870,XTRAC II ITR CROSS SH DAY SWAP UCITS ETF,XTC5.MI,ITRAXX CROSSOVER 5-YEAR SHORT TR,0.0024,INDICI DI CREDITO,XTRACKERS,ETF,XTC5.MI
151,LU0321462953,XTRACKERS II EM BOND EUR H C UCITS ETF,XEMB.MI,FTSE EMER MARKETS USD GOV AND GOV-REL BOND SEL NTR,0.004,TITOLI DI STATO - EMERGENTI,XTRACKERS,ETF,XEMB.MI
152,LU0321464652,XTRACKERS II GBP CASH SWAP UCITS ETF,XSTR.MI,SONIA TOTAL RETURN INDEX,0.0015,LIQUIDITA',XTRACKERS,ETF,XSTR.MI
153,LU0321465469,XTRACKERS II USD CASH SWAP UCITS ETF,XFFE.MI,FED FUNDS EFFECTIVE RATE TR,0.0015,LIQUIDITA',XTRACKERS,ETF,XFFE.MI
154,LU0322250712,XTRACKERS LPX PRIVATE EQ SWAP UCITS ETF,XLPE.MI,LPX MAJOR MARKET TR,0.007,AZIONARIO TEMATICI,XTRACKERS,ETF,XLPE.MI
155,LU0322250985,XTRACKERS CAC 40 UCITS ETF,XCAC.MI,CAC 40,0.002,AZIONARIO EUROPA - SINGOLI PAESI,XTRACKERS,ETF,XCAC.MI
156,LU0322252171,XTRACK MSCI AC ASIA EXJPN SWAP UCITS ETF,XAXJ.MI,MSCI AC ASIA EX JAPAN TRN INDEX,0.0065,AZIONARIO EMERGENTI - ASIA,XTRACKERS,ETF,XAXJ.MI
157,LU0322252338,XTRACKERS MSCI PACIFIC EXJAPAN UCITS ETF,XPXJ.MI,MSCI PACIFIC EX JAPAN TRN INDEX,0.0045,AZIONARIO PACIFICO,XTRACKERS,ETF,XPXJ.MI
158,LU0322252502,XTRACKERS MSCI RUSSIA CAP SWAP UCITS ETF,XMRC.MI,MSCI RUSSIA CAPPED,0.0065,AZIONARIO EMERGENTI - EST EUROPA,XTRACKERS,ETF,XMRC.MI
159,LU0322252924,XTRACKERS FTSE VIETNAM SWAP UCITS ETF,XFVT.MI,FTSE VIETNAM TR,0.0085,AZIONARIO EMERGENTI - ASIA,XTRACKERS,ETF,XFVT.MI
160,LU0322253229,XTRACKERS S&P GLOB INFRAS SWAP UCITS ETF,XSGI.MI,S&P GLOBAL INFRASTRUCTURE TR,0.006,AZIONARIO TEMATICI,XTRACKERS,ETF,XSGI.MI
161,LU0322253906,XTRACKERS MSCI EU SMALLCAP UCITS ETF DR,XXSC.MI,MSCI EUROPE SMALL CAP NTR,0.004,AZIONARIO STYLE (SVILUPPATI),XTRACKERS,ETF,XXSC.MI
162,LU0328474803,XTRACKERS S&P ASX 200 UCITS ETF,XAUS.MI,S&P/ASX 200 TR,0.005,AZIONARIO PACIFICO,XTRACKERS,ETF,XAUS.MI
163,LU0328475792,XTRACKERS STOXX EUROPE 600 UCITS ETF,XSX6.MI,STOXX 600 TR,0.002,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,XSX6.MI
164,LU0328476410,XTRACKERS S&P SEL FRONT SWAP UCITS ETF,XSFR.MI,S&P SELECT FRONTIER NTR,0.0095,AZIONARIO EMERGENTI - MONDO,XTRACKERS,ETF,XSFR.MI
165,LU0378818131,XTRACKERS II GL GOVT EUR HED C UCITS ETF,XGSH.MI,FTSE WORLD GOV BOND HEDGED,0.0025,TITOLI DI STATO - MONDO,XTRACKERS,ETF,XGSH.MI
166,LU0380865021,XTRACKERS EURO STOXX 50 UCITS ETF 1C,XESC.MI,EURO STOXX 50 TRN,0.0009,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,XESC.MI
167,IE00B3DKXQ41,ISHARES EU AGGREGATE BOND UCITS ETF DIST,IEAG.MI,BARCLAYS EURO AGGREGATE BOND TR,0.0025,OBBLIGAZIONARIO MISTO,ISHARES,ETF,IEAG.MI
168,IE00B3F81R35,ISHARES CORE EU CORP BOND UCITS ETF DIST,IEAC.MI,BARCLAYS EURO CORPORATE BOND TR,0.002,OBBLIGAZIONARIO CORPORATE - EURO,ISHARES,ETF,IEAC.MI
169,IE00B3FH7618,ISHARES EU GOVT BOND 0-1Y UCITS ETF DIST,IEGE.MI,BARCLAYS EURO SHORT TREASURY (0-12MONTH)TR,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IEGE.MI
170,IE00B3VWMM18,ISHARES MSCI EMU SMALL CAP UCITS ETF ACC,CSEMUS.MI,MSCI EMU SMALL CAP TRN,0.0058,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,CSEMUS.MI
171,IE00B3VWM098,ISHARES MSCI USA SMALL CAP UCITS ETF ACC,CSUSS.MI,MSCI USA SMALL CAP TRN,0.0043,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,CSUSS.MI
172,IE00B3VTMJ91,ISHARES EU GOVT BOND 1-3YR UCITS ETF ACC,CSBGE3.MI,BARCLAYS EURO GOV BOND 1-3 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,CSBGE3.MI
173,IE00B3VTML14,ISHARES EU GOVT BOND 3-7YR UCITS ETF ACC,CSBGE7.MI,BARCLAYS EURO GOV BOND 3-7 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,CSBGE7.MI
174,IE00B3VWN179,ISHARES $ TREA 1-3YR UCITS ETF USD ACC B,CSBGU3.MI,BARCLAYS US TREASURY 1-3 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,CSBGU3.MI
175,IE00B3VWN393,ISHARES $ TREASURY 3-7YR UCITS ETF ACC,CSBGU7.MI,BARCLAYS US TREASURY 3-7 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,CSBGU7.MI
176,IE00B4L5YC18,ISHARES MSCI EM UCITS ETF USD ACC,SEMA.MI,MSCI EMERGING MARKETS TRN INDEX,0.0075,AZIONARIO EMERGENTI - MONDO,ISHARES,ETF,SEMA.MI
177,IE00B4K48X80,ISHARESCOREMSCIEUROPE€(ACC) UCITS ETF,SMEA.MI,MSCI TRN EUROPE INDEX,0.0012,AZIONARIO EUROPA - AREA,ISHARES,ETF,SMEA.MI
178,IE00B4L5YX21,ISHARES CORE MSCI JAP IMI UCITS ETF ACC,SJPA.MI,MSCI JAPAN INVESTABLE MARKET TRN (IMI),0.002,AZIONARIO PACIFICO,ISHARES,ETF,SJPA.MI
179,IE00B4L5Y983,ISHARES CORE MSCI WORLD UCITS ETF ACC,SWDA.MI,MSCI TRN WORLD INDEX,0.002,AZIONARIO MONDO,ISHARES,ETF,SWDA.MI
180,IE00B4WXJD03,ISHARES MSCI PACIFIC EX-J UCITS ETF DIST,SPXJ.MI,MSCI PACIFIC EX JAPAN TRN INDEX,0.006,AZIONARIO PACIFICO,ISHARES,ETF,SPXJ.MI
181,IE00B4WXJG34,ISHARES EU GOVT BOND 5-7Y UCITS ETF DIST,IBGY.MI,BARCLAYS EURO GOV BOND 5-7 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGY.MI
182,IE00B4WXJH41,ISHARES EU GOVT 10-15YR UCITS ETF DIST,IBGZ.MI,BARCLAYS EURO GOV BOND 10-15 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGZ.MI
183,IE00B4WXJJ64,ISHARES CORE EU GOVT BOND UCITS ETF DIST,SEGA.MI,BARCLAYS EURO TREASURY BOND TR,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,SEGA.MI
184,IE00B4L60045,ISHARES EU COR BOND 1-5YR UCITS ETF DIST,SE15.MI,BARCLAYS EURO CORPORATE BOND 1- 5 YEAR,0.002,OBBLIGAZIONARIO CORPORATE - EURO,ISHARES,ETF,SE15.MI
185,IE00B53L3W79,ISHARES CORE EURO STOXX 50 UCITS ETF ACC,CSSX5E.MI,EURO STOXX 50 TRN,0.001,AZIONARIO EUROPA - AREA,ISHARES,ETF,CSSX5E.MI
186,IE00B53L4X51,ISHARES FTSE MIB UCITS ETF EUR ACC,CSMIB.MI,FTSE MIB TR,0.0033,AZIONARIO ITALIA,ISHARES,ETF,CSMIB.MI
187,IE00B52MJD48,ISHARES NIKKEI 225 UCITS ETF JPY ACC,CSNKY.MI,NIKKEI 225,0.0048,AZIONARIO PACIFICO,ISHARES,ETF,CSNKY.MI
188,IE00B52MJY50,ISHARES CORE MSCI PAC EX-J UCITS ETF ACC,CSPXJ.MI,MSCI PACIFIC EX JAPAN TRN INDEX,0.002,AZIONARIO PACIFICO,ISHARES,ETF,IE00B52MJY50
189,IE00B539F030,ISHARES MSCI UK UCITS ETF ACC,CSUK.MI,MSCI UK TRN,0.0033,AZIONARIO EUROPA - SINGOLI PAESI,ISHARES,ETF,CSUK.MI
190,IE00B53QDK08,ISHARESMSCIJAPAN UCITS ETF,CSJP.MI,MSCI TRN JAPAN INDEX,0.0048,AZIONARIO PACIFICO,ISHARES,ETF,CSJP.MI
191,IE00B53QG562,ISHARESCOREMSCIEMU(ACC) UCITS ETF,CSEMU.MI,MSCI EMU TRN,0.0012,AZIONARIO EUROPA - AREA,ISHARES,ETF,CSEMU.MI
192,IE00B53SZB19,ISHARES NASDAQ 100 UCITS ETF USD ACC,CSNDX.MI,NASDAQ 100,0.0033,AZIONARIO NORD AMERICA,ISHARES,ETF,CSNDX.MI
193,IE00B52SFT06,ISHARES MSCI USA UCITS ETF USD ACC,CSUS.MI,MSCI TRN USA INDEX,0.0033,AZIONARIO NORD AMERICA,ISHARES,ETF,CSUS.MI
194,IE00B52SF786,ISHARES MSCI CANADA UCITS ETF USD ACC,CSCA.MI,MSCI CANADA TRN,0.0048,AZIONARIO NORD AMERICA,ISHARES,ETF,CSCA.MI
195,FR0010655720,AMUNDI MSCI ITALY UCITS ETF,CI1.MI,MSCI ITALY TRN,0.0025,AZIONARIO ITALIA,AMUNDI,ETF,CI1.MI
196,FR0010688176,AMUNDI MSCI EUROPE BANKS UCITS ETF,CB5.MI,MSCI EUROPE BANKS,0.0025,AZIONARIO SETTORIALI (SVILUPPATI),AMUNDI,ETF,CB5.MI
197,FR0010688192,AMUNDI MSCI EUROPE HEALTHCARE UCITS ETF,CH5.MI,MSCI EUROPE HEALTH CARE,0.0025,AZIONARIO SETTORIALI (SVILUPPATI),AMUNDI,ETF,CH5.MI
198,FR0010754127,AMUNDI EURO INFLATION UCITS ETF,CI3.MI,IBOXX EURO INFLATION-LINKED TR,0.0016,INFLAZIONE,AMUNDI,ETF,CI3.MI
199,FR0010821819,AMUNDI MSCI EUROPE EX EMU UCITS ETF,CU9.MI,MSCI EUROPE EX EMU NTR,0.003,AZIONARIO EUROPA - AREA,AMUNDI,ETF,CU9.MI
200,FR0010756114,AMUNDI MSCI WORLD EX EMU UCITS ETF,CM9.MI,MSCI WORLD EX EMU NTR,0.0035,AZIONARIO MONDO,AMUNDI,ETF,CM9.MI
201,IE00B5BMR087,ISHARES CORE S&P 500 UCITS ETF USD ACC,CSSPX.MI,S&P 500 TRN USD,0.0007,AZIONARIO NORD AMERICA,ISHARES,ETF,IE00B5BMR087
202,LU0496786574,LYXOR S&P 500 UCITS ETF - DIST,SPX.MI,S&P 500 TRN USD,0.0015,AZIONARIO NORD AMERICA,LYXOR,ETF,SPX.MI
203,LU0136234068,UBS EURO STOXX 50 UCITS ETF A-DIS,E50EUA.MI,EURO STOXX 50,0.0015,AZIONARIO EUROPA - AREA,UBS ETF,ETF,E50EUA.MI
204,LU0147308422,UBS MSCI EMU UCITS ETF A-DIS,EMUEUA.MI,MSCI EMU PRICE INDEX,0.0018,AZIONARIO EUROPA - AREA,UBS ETF,ETF,EMUEUA.MI
205,LU0446734369,UBS MSCI EMU VALUE UCITS ETF A-DIS,EMVEUA.MI,MSCI EMU PRICE INDEX,0.0025,AZIONARIO STYLE (SVILUPPATI),UBS ETF,ETF,EMVEUA.MI
206,LU0446734104,UBS MSCI EUROPE UCITS ETF A-DIS,EUREUA.MI,MSCI EUROPE,0.002,AZIONARIO EUROPA - AREA,UBS ETF,ETF,EUREUA.MI
207,LU0136240974,UBS MSCI JAPAN UCITS ETF A-DIS,JPNEUA.MI,MSCI JAPAN,0.0035,AZIONARIO PACIFICO,UBS ETF,ETF,JPNEUA.MI
208,LU0446734526,UBS MSCI PACIFIC EX JPN UCITS ETF A-DIS,PACEUA.MI,MSCI PACIFIC EX JAPAN,0.003,AZIONARIO PACIFICO,UBS ETF,ETF,PACEUA.MI
209,LU0136234654,UBS MSCI USA UCITS ETF A-DIS,USAEUA.MI,MSCI USA,0.0014,AZIONARIO NORD AMERICA,UBS ETF,ETF,USAEUA.MI
210,LU0340285161,UBS MSCI WORLD UCITS ETF A-DIS,WRDEUA.MI,MSCI WORLD INDEX,0.003,AZIONARIO MONDO,UBS ETF,ETF,WRDEUA.MI
211,LU0446734872,UBS MSCI CANADA UCITS ETF A-DIS,CANEUA.MI,MSCI CANADA,0.0033,AZIONARIO NORD AMERICA,UBS ETF,ETF,CANEUA.MI
212,LU0478205379,XTRACKERS II EUR CORPORAT BOND UCITS ETF,XBLC.MI,BARCLAYS EURO CORPORATE BOND TR,0.002,OBBLIGAZIONARIO CORPORATE - EURO,XTRACKERS,ETF,XBLC.MI
213,LU0476289466,XTRACKERS MSCI MEXICO UCITS ETF,XMEX.MI,MSCI MEXICO TRN,0.0065,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,XTRACKERS,ETF,XMEX.MI
214,LU0476289540,XTRACKERS MSCI CANADA UCITS ETF,XCAN.MI,MSCI CANADA TRN USD,0.0035,AZIONARIO NORD AMERICA,XTRACKERS,ETF,XCAN.MI
215,LU0489337690,XTRACKERS FTSE DEV EU REAL EST UCITS ETF,XDER.MI,FTSE EPRA NAREIT DEVELOP EU RE TR,0.004,REAL ESTATE,XTRACKERS,ETF,XDER.MI
216,LU0490618542,XTRACKERS S&P 500 SWAP UCITS ETF 1C,XSPX.MI,S&P 500 TRN USD,0.002,AZIONARIO NORD AMERICA,XTRACKERS,ETF,XSPX.MI
217,LU0496786731,LYXOR MSCI CANADA UCITS ETF - DIST,CAN.MI,MSCI CANADA NT CAD,0.004,AZIONARIO NORD AMERICA,LYXOR,ETF,CAN.MI
218,LU0496786905,LYXOR AUSTRAL S&P/ASX 200 UCITS ETF DIST,AUST.MI,S&P/ASX 200 TR,0.004,AZIONARIO PACIFICO,LYXOR,ETF,AUST.MI
219,FR0010754135,AMUNDI GOVT EMTS INV GR 1-3 UCITS ETF,C13.MI,FTSE MTS EUROZONE GOV BROAD IG 1-3Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C13.MI
220,FR0010754184,AMUNDI GOVT EMTS INV GR 7-10 UCITS ETF,C73.MI,FTSE MTS EUROZONE GOV BROAD IG 7-10Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C73.MI
221,FR0010754143,AMUNDI GOVT EMTS INV GR 10-15 UCITS ETF,C10.MI,FTSE MTS EUROZONE GOV BROAD IG 10-15Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C10.MI
222,FR0010754200,AMUNDI CASH 3 MONT EMTS INV GR UCITS ETF,C3M.MI,FTSE MTS EUROZONE GOVERNMENT BILL 0-6 MONTH CAPPED,0.0014,LIQUIDITA',AMUNDI,ETF,C3M.MI
223,FR0010754168,AMUNDI GOVT EMTS INV GR 3-5 UCITS ETF,C33.MI,FTSE MTS EUROZONE GOV BROAD IG 3-5Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C33.MI
224,FR0010754176,AMUNDI GOVT EMTS INV GR 5-7 UCITS ETF,C53.MI,FTSE MTS EUROZONE GOV BROAD IG 5-7Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C53.MI
225,FR0010655712,AMUNDI ETF DAX UCITS ETF DR,CG1.MI,DAX,0.001,AZIONARIO EUROPA - SINGOLI PAESI,AMUNDI,ETF,CG1.MI
226,IE00B5V87390,ISHARES MSCI RUSS ADR/GDR UCITS ETF ACC,CSRU.MI,MSCI RUSSIA ADR/GDR NET USD,0.0065,AZIONARIO EMERGENTI - EST EUROPA,ISHARES,ETF,CSRU.MI
227,IE00B5WHFQ43,ISHARES MSCI MEX CAP UCITS ETF USD ACC,CSMXCP.MI,MSCI MEXICO CAPPED TRN,0.0065,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,ISHARES,ETF,CSMXCP.MI
228,IE00B5W4TY14,ISHARES MSCI KOREA UCITS ETF USD ACC,CSKR.MI,MSCI KOREA TRN,0.0065,AZIONARIO EMERGENTI - ASIA,ISHARES,ETF,CSKR.MI
229,IE00B5L8K969,ISHARES MSCI EM ASIA UCITS ETF USD ACC,CSEMAS.MI,MSCI EM ASIA TRN INDEX,0.0065,AZIONARIO EMERGENTI - ASIA,ISHARES,ETF,CSEMAS.MI
230,LU0533032420,LYXOR MSCI WLD ENERGY UCITS ETF - ACC,ENERW.MI,MSCI WORLD ENERGY NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,ENERW.MI
231,LU0533033824,LYXOR MSCI WLD MATERIALS UCITS ETF - ACC,MATW.MI,MSCI WORLD MATERIALS NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,MATW.MI
232,LU0533033238,LYXOR MSCI WLD HEALCARE TR UCITS ETF ACC,HLTW.MI,MSCI WORLD HEALTH CARE NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,HLTW.MI
233,LU0533032859,LYXOR MSCI WLD FINANCIALS UCITS ETF ACC,FINSW.MI,MSCI WORLD FINANCIALS NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,FINSW.MI
234,LU0533034129,LYXOR MSCI WLD TELECOM SER UCITS ETF ACC,TELEW.MI,MSCI WORLD TELECOMMUNICATION SERVICES NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,TELEW.MI
235,LU0533032008,LYXOR MSCI WLD CONS DISCR UCITS ETF ACC,DISW.MI,MSCI WORLD CONSUMER DISCRETIONARY NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,DISW.MI
236,LU0533032263,LYXOR MSCI WLD CONS STAPL UCITS ETF ACC,STAW.MI,MSCI WORLD CONSUMER STAPLES NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,STAW.MI
237,LU0533033402,LYXOR MSCI WLD INDUSTRIALS UCITS ETF ACC,INDGW.MI,MSCI WORLD INDUSTRIALS NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,INDGW.MI
238,LU0533033667,LYXOR MSCI WLD INF TECH UCITS ETF ACC,TNOW.MI,MSCI WORLD INFORMATION TECHNOLOGY NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,TNOW.MI
239,LU0533034558,LYXOR MSCI WLD UTILITIES UCITS ETF - ACC,UTIW.MI,MSCI WORLD UTILITIES NTR,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,UTIW.MI
240,IE00B2NPKV68,ISHARES J.P. MORGAN $ EM UCITS ETF DIST,IEMB.MI,JPMORGAN EMER MARKETS BOND INDEX GLOBAL CORE TR,0.0045,TITOLI DI STATO - EMERGENTI,ISHARES,ETF,IEMB.MI
241,IE00B66F4759,ISHARES HIGH YLD CORP UCITS ETF DIST,IHYG.MI,MARKIT IBOXX EURO LIQUID HIGH YIELD TR,0.005,OBBLIGAZIONARIO CORPORATE - HIGH YIELD,ISHARES,ETF,IHYG.MI
242,LU0484968655,XTRACK II EUR CORP BOND EXFIN UCITS ETF,XB4N.MI,BARCLAYS EURO CORPORATE EX-FINANCIALS BOND,0.002,OBBLIGAZIONARIO CORPORATE - EURO,XTRACKERS,ETF,XB4N.MI
243,LU0524480265,XTRII IBOXX EUROZ GOV YLD PLUS UCITS ETF,XY4P.MI,MARKIT IBOXX EUR SOVEREIGNS EUROZONE Y PLUS TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,XY4P.MI
244,LU0468896575,XTRACKERS II GERMANY GOVT UCITS ETF,XBTR.MI,IBOXX EUR GERMANY TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,XBTR.MI
245,LU0468897110,XTRACKERS II GERMANY GOVT 1-3 UCITS ETF,XB13.MI,IBOXX EUR GERMANY 1-3 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,XB13.MI
246,LU0476289623,XTRACKERS MSCI INDONESIA SWAP UCITS ETF,XMIN.MI,MSCI INDONESIA TRN,0.0065,AZIONARIO EMERGENTI - ASIA,XTRACKERS,ETF,XMIN.MI
247,IE00B42Z5J44,ISHARES MSCI JAPAN EUR HDG UCITS ETF ACC,IJPE.MI,MSCI JAPAN EURO HEDGED TRN,0.0064,AZIONARIO PACIFICO,ISHARES,ETF,IJPE.MI
248,IE00B441G979,ISHARES MSCI WORLD EUR HDG UCITS ETF ACC,IWDE.MI,MSCI WORLD EURO HEDGED TRN,0.0055,AZIONARIO MONDO,ISHARES,ETF,IWDE.MI
249,IE00B3ZW0K18,ISHARES S&P 500 EUR HEDGED UCITS ETF ACC,IUSE.MI,S&P 500 EURO HEDGED TRN,0.002,AZIONARIO NORD AMERICA,ISHARES,ETF,IUSE.MI
250,LU0514694701,XTRACKERS MSCI THAILAND UCITS ETF,XCS4.MI,MSCI THAILAND TRN,0.005,AZIONARIO EMERGENTI - ASIA,XTRACKERS,ETF,XCS4.MI
251,LU0599612842,OSSIAM ISTXX EUROPE MIN VAR NR UCITS ETF,EUMV.MI,ISTOXX EUROPE MINIMUM VARIANCE NTR,0.0065,AZIONARIO EUROPA - AREA,OSSIAM,ETF,EUMV.MI
252,LU0599613147,OSSIAM STX EU600 EQ WEIGHT NR UCITS ETF,S6EW.MI,STOXX EUROPE 600 EQUAL WEIGHT NTR,0.0035,AZIONARIO EUROPA - AREA,OSSIAM,ETF,S6EW.MI
253,LU0599612685,OSSIAM US MIN VARIANCE ESG NR UCITS ETF,SPMV.MI,US ESG MINIMUM VARIANCE NR,0.0065,AZIONARIO NORD AMERICA,OSSIAM,ETF,SPMV.MI
