,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource,startDate,endDate,volAvg
0,LU0136242590,UBS FTSE 100 UCITS ETF A-DIS,100EUA.MI,FTSE 100 TR,0.002,AZIONARIO EUROPA - SINGOLI PAESI,UBS ETF,ETF,LU0136242590,2013-01-14,2019-04-04,685
2,LU1681048804,AMUNDI S&P 500 EUR UCITS ETF,A500.MI,S&P 500 TRN USD,0.0015,AZIONARIO NORD AMERICA,AMUNDI,ETF,A500.MI,2010-09-09,2019-04-04,12832
4,LU1829219556,LYXOR HIGH RAT MW GOVT 1-3Y DR UCITS ETF,AAA13.MI,FTSE MTS HIGHEST RATED MACRO WEIGT GOV 1-3 YRSMIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,AAA13.MI,2012-03-02,2019-04-04,115
5,LU1829219713,LYXOR HIGH RAT MW GOVT 3-5Y DR UCITS ETF,AAA35.MI,FTSE MTS HIGHEST RATED MACRO WEIGT GOV 3-5 YRSMIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,AAA35.MI,2012-03-02,2019-04-04,9152
6,LU1829219986,LYXOR HIGH RAT MW GOVT 5-7Y DR UCITS ETF,AAA57.MI,FTSE MTS HIGHEST RATED MACRO WEIGT GOV 5-7 YRSMIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,AAA57.MI,2012-03-02,2019-04-04,0
8,IE00B44Z5B48,SPDR MSCI ACWI UCITS ETF,ACWE.MI,MSCI ACWI USD TRN,0.004,AZIONARIO MONDO,SPDR,ETF,ACWE.MI,2019-01-30,2019-04-04,6801
10,IE00BYM11H29,UBS MSCI ACWI SF UCITS ETF USD A-ACC,ACWIA.MI,MSCI ACWI USD TRN,0.0021,AZIONARIO MONDO,UBS ETF,ETF,ACWIA.MI,2018-11-14,2019-04-04,545
11,IE00BYM11K57,UBS MSCI ACWI SF UCITS ETF EUR HEDG ACC,ACWIE.MI,MSCI ACWI 100% HEDGED EUR TRN,0.0021,AZIONARIO MONDO,UBS ETF,ETF,IE00BYM11K57,2016-01-11,2019-04-04,33319
12,LU1681045370,AMUNDI MSCI EMERGING UCITS ETF - EUR,AEEM.MI,MSCI EMERGING MARKETS INDEX,0.002,AZIONARIO EMERGENTI - MONDO,AMUNDI,ETF,AEEM.MI,2011-03-22,2019-04-04,683326
13,LU1900068328,LYXOR MSCI AC ASIA PAC EX JAP UCITS ETF,AEJ.MI,MSCI AC ASIA EX JAPAN TRN INDEX,0.006,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,AEJ.MI,2006-09-07,2019-04-04,3276
16,LU1681041205,AMUNDI GL EM BOND MARK IBX UCITS ETF USD,AGEB.MI,MARKIT IBOXX $ LIQUID EMERGING MARKETS SOVEREIGNS,0.003,TITOLI DI STATO - EMERGENTI,AMUNDI,ETF,AGEB.MI,2011-03-22,2019-04-04,4411
17,IE00BYZK4669,ISHARES AGEING POPULATION UCITS ETF ACC,AGED.MI,ISTOXX FACTSET AGEING POPULATION INDEX,0.004,AZIONARIO TEMATICI,ISHARES,ETF,IE00BYZK4669,2016-11-03,2019-04-04,47756
19,IE00B7WK2W23,UBS MSCI AC AS EX JPN SF UCITS ETF A-ACC,AJEUAS.MI,MSCI AC ASIA EX JAPAN TRN INDEX,0.00233,AZIONARIO EMERGENTI - ASIA,UBS ETF,ETF,IE00B7WK2W23,2013-01-14,2019-04-04,48
21,LU1681046691,AMUNDI GOV HIG RAT EMTS IG UCITS ETF EUR,AM3A.MI,FTSE MTS HIGHEST-RATED EUROZONE GOV BOND,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,AM3A.MI,2011-03-22,2019-04-04,38
22,LU1681038243,AMUNDI NASDAQ-100 UCITS ETF - EUR,ANX.MI,NASDAQ 100,0.0023,AZIONARIO NORD AMERICA,AMUNDI,ETF,ANX.MI,2010-09-08,2019-04-04,6724
24,LU0629460089,UBS MSCI USA SOCIALLY RESPONS UCITS ETF,ASREUA.MI,UBS ETF - MSCI USA SOCIALLY RES 5% ISSUER CAPPED,0.0033,AZIONARIO TEMATICI,UBS ETF,ETF,LU0629460089,2013-01-14,2019-04-04,1417
26,IE00BG0TQB18,INVESCO AT1 CAPITAL BOND UCITS ETF DIST,AT1D.MI,IBOXX USD CONTING CON LIQ DEV MKT AT1 8/5% ISS CAP,0.0039,OBBLIGAZIONARIO CORPORATE - HIGH YIELD,INVESCO,ETF,AT1D.MI,2018-09-28,2019-04-04,558
27,LU1525419294,AMUNDI BAR US GOV INFL-LINK UCITS ETF DR,ATIP.MI,BARCLAYS CAPITAL US GOVERN INFLATION-LINKED BOND,0.0016,INFLAZIONE,AMUNDI,ETF,LU1525419294,2017-04-05,2019-04-04,109
28,IE00B3CNHG25,L&G GOLD MINING UCITS ETF,AUCO.MI,DAXGLOBAL GOLD MINERS (TR) USD,0.0065,AZIONARIO TEMATICI,LEGAL & GENERAL,ETF,AUCO.MI,2009-01-29,2019-04-04,10441
29,IE00BWT3KS11,UBS MSCI AUSTRALIA UCITS ETF EUR HED ACC,AUHEUA.MI,MSCI AUSTRALIA 100% HEDGED TO EUR TRN,0.005,AZIONARIO PACIFICO,UBS ETF,ETF,AUHEUA.MI,2018-04-27,2019-04-04,1519
30,IE00BD4TY451,UBS MSCI AUSTRALIA UCITS ETF AUD ACC,AUSAUW.MI,MSCI AUSTRALIA TRN,0.004,AZIONARIO PACIFICO,UBS ETF,ETF,IE00BD4TY451,2015-07-02,2019-04-04,2735
31,LU0496786905,LYXOR AUSTRAL S&P/ASX 200 UCITS ETF DIST,AUST.MI,S&P/ASX 200 TR,0.004,AZIONARIO PACIFICO,LYXOR,ETF,AUST.MI,2010-09-08,2019-04-04,531
32,LU1834983394,LYXOR STX EU600 AUTOMOB&PARTS UCITS ETF,AUTP.MI,STOXX EUROPE 600 AUTOMOBILES & PARTS TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,AUTP.MI,2006-11-22,2019-04-04,4901
33,IE00BDR55927,UBS MSCI ACWI SOC RESP EUR HED UCITS ETF,AWSRIE.MI,MSCI ACWI SRI 5% ISSUER CAPPED 100% HEDGE EUR NR,0.0048,AZIONARIO TEMATICI,UBS ETF,ETF,AWSRIE.MI,2018-01-04,2019-04-04,46638
36,IE00BF0M2Z96,L&G BATTERY VALUE-CHAIN UCITS ETF,BATT.MI,SOLACTIVE BATTERY VALUE-CHAIN INDEX,0.0075,AZIONARIO TEMATICI,LEGAL & GENERAL,ETF,BATT.MI,2018-02-23,2019-04-04,21961
37,FR0012805687,AMUNDI ETF MSCI EUROPE BUYBACK UCITS ETF,BBEU.MI,MSCI EUROPE EQUAL WEIGHTED BUYBACK YIELD,0.003,AZIONARIO STYLE (SVILUPPATI),AMUNDI,ETF,FR0012805687,2016-01-12,2019-04-04,149
40,IE00BF5DXP42,FIRST TRUST INDXX INN TRA&PROC UCITS ETF,BLOK.MI,INDXX BLOCKCHAIN NTR,0.0065,AZIONARIO TEMATICI,FIRST TRUST,ETF,BLOK.MI,2018-05-15,2019-04-04,4400
43,LU1829221966,LYXOR S&P 500 BANKS UCITS ETF,BNKU.MI,S&P 500 CAP 35/20 BANKS AND DIV FINAN SEL IND NTR,0.0025,AZIONARIO NORD AMERICA,LYXOR,ETF,BNKU.MI,2018-07-13,2019-04-04,646
44,LU1287024076,LYXOR BOT MTS EX-BANKIT DR UCITS ETF ACC,BOT6M.MI,FTSE MTS EX-BANK OF ITALY BOT MIDP,0.0015,TITOLI DI STATO - ITALIA,LYXOR,ETF,LU1287024076,2016-03-03,2019-04-04,564
46,LU1900066207,LYXOR MSCI BRAZIL UCITS ETF A,BRA.MI,MSCI BRAZIL TRN INDEX,0.0065,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,LYXOR,ETF,BRA.MI,2007-04-13,2019-04-04,28425
47,LU1834983550,LYXOR STX EU600 BASIC RESOURCE UCITS ETF,BRES.MI,STOXX EUROPE 600 BASIC RESOURCES TRN,0.003,AZIONARIO SETTORIALI (SVILUPPATI),LYXOR,ETF,BRES.MI,2006-11-22,2019-04-04,4303
48,LU1437024992,AMUNDI MSCI BRAZIL UCITS ETF,BRZ.MI,MSCI BRAZIL INDEX,0.0055,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,AMUNDI,ETF,LU1437024992,2010-04-20,2019-04-04,1667
49,LU1598691217,LYXOR EMTS 10Y ITA BTP DR UCITS ETF ACC,BTP10.MI,FTSE MTS TARGET MATURITY GOV BOND ITALY MIDP,0.00165,TITOLI DI STATO - ITALIA,LYXOR,ETF,LU1598691217,2013-11-11,2019-04-04,1177
51,IE00BLSNMW37,INVESCO GLOB BUYBACK ACHIEVERS UCITS ETF,BUYB.MI,NASDAQ GLOBAL BUYBACK ACHIEVERS TRN,0.0039,AZIONARIO STYLE (SVILUPPATI),INVESCO,ETF,IE00BLSNMW37,2014-11-24,2019-04-04,1384
52,FR0010754143,AMUNDI GOVT EMTS INV GR 10-15 UCITS ETF,C10.MI,FTSE MTS EUROZONE GOV BROAD IG 10-15Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C10.MI,2011-01-27,2019-04-04,87
53,FR0010754135,AMUNDI GOVT EMTS INV GR 1-3 UCITS ETF,C13.MI,FTSE MTS EUROZONE GOV BROAD IG 1-3Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C13.MI,2010-10-20,2019-04-04,1734
54,FR0010754168,AMUNDI GOVT EMTS INV GR 3-5 UCITS ETF,C33.MI,FTSE MTS EUROZONE GOV BROAD IG 3-5Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C33.MI,2010-09-22,2019-04-04,1058
55,FR0010754200,AMUNDI GOV 0-6 MONT EMT INV GR UCITS ETF,C3M.MI,FTSE MTS EUROZONE GOVERNMENT BILL 0-6 MONTH CAPPED,0.0014,LIQUIDITA',AMUNDI,ETF,C3M.MI,2010-10-12,2019-04-04,2491
57,LU1681047236,AMUNDI EURO STOXX 50 UCITS ETF DR - EUR,C50.MI,EURO STOXX 50,0.0015,AZIONARIO EUROPA - AREA,AMUNDI,ETF,C50.MI,2010-03-17,2019-04-04,8655
58,FR0010754176,AMUNDI GOVT EMTS INV GR 5-7 UCITS ETF,C53.MI,FTSE MTS EUROZONE GOV BROAD IG 5-7Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C53.MI,2010-09-30,2019-04-04,359
59,FR0010754184,AMUNDI GOVT EMTS INV GR 7-10 UCITS ETF,C73.MI,FTSE MTS EUROZONE GOV BROAD IG 7-10Y,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,C73.MI,2010-09-22,2019-04-04,348
60,LU1130155606,UBS MSCI CANADA UCITS ETF EUR HEDGED ACC,CAHEUA.MI,MSCI CANADA 100% HEDGED TO EUR TRN,0.0043,AZIONARIO NORD AMERICA,UBS ETF,ETF,LU1130155606,2015-03-06,2019-04-04,11907
62,LU0950672807,UBS ETF MSCI CANADA UCITS ETF CAD A-ACC,CANA.MI,MSCI CANADA TRN,0.0033,AZIONARIO NORD AMERICA,UBS ETF,ETF,CANA.MI,2019-01-07,2019-04-04,18216
63,LU0446734872,UBS MSCI CANADA UCITS ETF A-DIS,CANEUA.MI,MSCI CANADA,0.0033,AZIONARIO NORD AMERICA,UBS ETF,ETF,CANEUA.MI,2010-06-07,2019-04-04,7925
65,LU1079841273,OSSIAM SH BARCLAYS CAPE US SECTOR VAL TR,CAPU.MI,SHILLER BARCLAYS CAPE US SECTOR VALUE TRN,0.0065,AZIONARIO STYLE (SVILUPPATI),OSSIAM,ETF,LU1079841273,2015-09-08,2019-04-04,353
66,IE00BHBFDF83,L&G E FUND MSCI CHINA A UCITS ETF,CASH.MI,MSCI CHINA A ONSHORE TRN,0.0088,AZIONARIO EMERGENTI - ASIA,LEGAL & GENERAL,ETF,IE00BHBFDF83,2014-07-02,2019-04-04,5303
67,LU1681046261,AMUNDI GOV EMTS BROAD IG UCITS ETF,CB3.MI,FTSE MTS EUROZONE GOV BROAD IG,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,CB3.MI,2010-09-16,2019-04-04,18800
68,FR0010688176,AMUNDI MSCI EUROPE BANKS UCITS ETF,CB5.MI,MSCI EUROPE BANKS,0.0025,AZIONARIO SETTORIALI (SVILUPPATI),AMUNDI,ETF,CB5.MI,2010-05-10,2019-04-04,432
